Commodity,Measure,Value
All,$,2386667000000
"Electrical machinery and equip",$,51554000000
"Fish, crustaceans, and molluscs",$,15445000000
Fruit,$,22197000000
"Logs, wood, and wood articles",$,50381000000
"Meat and edible offal",$,78512000000
"Mechanical machinery and equip",$,72603000000
"Milk powder, butter, and cheese",$,157284000000
"Non-food manufactured goods",$,403154000000
